location,bhk,areaType,square_feet,transaction,status,floorNum,totalFloor,furnishing,facing,price_per_sqft,price
palanpur,2.0,Super Area,1191,Resale,Ready to Move,4.0,5.0,Unfurnished,North - East,3023.0,0.36
palanpur,2.0,Super Area,1290,Resale,Ready to Move,5.0,13.0,Furnished,East,3488.0,0.45
althan,2.0,Carpet Area,642,New Property,Ready to Move,5.0,14.0,Unfurnished,East,3895.0,0.46
althan,2.0,Super Area,1252,New Property,Ready to Move,7.0,12.0,Unfurnished,East,3994.0,0.5
althan,2.0,Super Area,1275,New Property,Under Construction,4.0,12.0,Unfurnished,East,3991.0,0.51
jahangirpura,2.0,Carpet Area,727,New Property,Ready to Move,7.0,13.0,Unfurnished,East,3075.0,0.39
palanpur,2.0,Super Area,1311,New Property,Under Construction,5.0,13.0,Unfurnished,East,4251.0,0.56
palanpur,2.0,Carpet Area,680,New Property,Ready to Move,4.0,14.0,Unfurnished,East,3600.0,0.45
palanpur,2.0,Super Area,1203,Resale,Ready to Move,10.0,13.0,Unfurnished,South -West,3534.0,0.42
jahangirpura,3.0,Super Area,1652,New Property,Ready to Move,6.0,13.0,Unfurnished,East,3329.0,0.55
pal,3.0,Super Area,1505,Resale,Ready to Move,6.0,12.0,Unfurnished,South -West,3056.0,0.46
dindoli,2.0,Super Area,1171,New Property,Under Construction,,,Unfurnished,,,
jahangirpura,3.0,Super Area,1900,Resale,Ready to Move,7.0,14.0,Unfurnished,South -West,2632.0,0.5
jahangirpura,3.0,Carpet Area,80,Resale,Ready to Move,2.0,12.0,Unfurnished,,,0.36
althan,2.0,Super Area,1275,New Property,Under Construction,5.0,13.0,Unfurnished,East,4051.0,0.52
palanpur,2.0,Super Area,1299,Resale,Ready to Move,9.0,11.0,Semi-Furnished,East,4311.0,0.56
punagam,2.0,Super Area,1319,Resale,Ready to Move,6.0,8.0,Furnished,East,4170.0,0.55
pal,2.0,Super Area,1326,Resale,Ready to Move,1.0,15.0,Unfurnished,North - West,3846.0,0.51
jahangirpura,2.0,Carpet Area,700,New Property,Ready to Move,6.0,14.0,Unfurnished,East,3966.0,0.47
althan,2.0,Carpet Area,655,New Property,Under Construction,10.0,19.0,Unfurnished,East,4859.0,0.57
NA,2.0,Super Area,1200,Resale,Ready to Move,3.0,5.0,Unfurnished,East,4167.0,0.5
palanpur,2.0,Carpet Area,750,Resale,Ready to Move,9.0,14.0,Semi-Furnished,East,3732.0,0.48
NA,2.0,Carpet Area,1100,Resale,Ready to Move,2.0,5.0,Semi-Furnished,East,,0.4
amroli,2.0,Super Area,1236,New Property,Ready to Move,5.0,13.0,Unfurnished,East,3948.0,0.49
palanpur,2.0,Super Area,1225,New Property,Ready to Move,10.0,14.0,Unfurnished,East,4327.0,0.53
palanpur,2.0,Super Area,1250,Resale,Ready to Move,10.0,13.0,Furnished,East,4640.0,0.58
NA,2.0,Super Area,1340,Resale,Ready to Move,1.0,14.0,Semi-Furnished,East,4179.0,0.56
adajan,2.0,Carpet Area,800,Resale,Ready to Move,1.0,5.0,Furnished,,,0.38
vesu,2.0,Carpet Area,750,Resale,Ready to Move,4.0,9.0,Unfurnished,North - East,4653.0,0.6
jahangirpura,2.0,Carpet Area,751,Resale,Ready to Move,5.0,13.0,Furnished,East,4372.0,0.55
palanpur,2.0,Super Area,1311,New Property,Under Construction,7.0,13.0,Unfurnished,South -West,4250.0,0.56
pal,2.0,Super Area,1290,New Property,Under Construction,6.0,12.0,Unfurnished,East,4403.0,0.57
dumas road/hazira,2.0,Carpet Area,800,Resale,Ready to Move,5.0,7.0,Furnished,East,4167.0,0.5
jahangirpura,2.0,Carpet Area,1075,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,,0.32
sarthana/varachha,3.0,Super Area,1700,Resale,Ready to Move,10.0,14.0,Unfurnished,,441.0,0.07
udhna,1.0,Super Area,650,Resale,Ready to Move,,,,,2154.0,0.14
althan,3.0,Super Area,1500,Resale,Ready to Move,2.0,4.0,Semi-Furnished,,3333.0,0.5
katargam,2.0,Super Area,925,Resale,Ready to Move,3.0,4.0,Unfurnished,,2378.0,0.22
NA,1.0,Super Area,350,Resale,Ready to Move,2.0,7.0,Unfurnished,East,3429.0,0.12
althan,2.0,Super Area,1252,Resale,Ready to Move,5.0,14.0,Unfurnished,East,3594.0,0.45
NA,2.0,Carpet Area,610,Resale,Ready to Move,8.0,14.0,Unfurnished,,3423.0,0.38
jahangirpura,2.0,Super Area,1180,Resale,Ready to Move,5.0,5.0,Unfurnished,East,2415.0,0.28
dindoli,1.0,Carpet Area,550,Resale,Ready to Move,4.0,5.0,Unfurnished,East,2638.0,0.14
adajan,2.0,Carpet Area,1050,Resale,Ready to Move,4.0,4.0,Unfurnished,,3333.0,0.35
NA,1.0,Super Area,550,Resale,Ready to Move,1.0,4.0,Semi-Furnished,,,
athwalines,1.0,Super Area,675,Resale,Ready to Move,2.0,10.0,Semi-Furnished,East,2963.0,0.2
kadodara,2.0,Super Area,682,Resale,Ready to Move,2.0,5.0,Unfurnished,North - East,2346.0,0.16
vesu,2.0,Super Area,1250,Resale,Ready to Move,1.0,4.0,Unfurnished,,3200.0,0.4
adajan,3.0,Carpet Area,1455,Resale,Ready to Move,1.0,10.0,Unfurnished,,3643.0,0.53
palanpur,2.0,Super Area,1251,New Property,Undefined,,,Unfurnished,,3751.0,0.47
palanpur,2.0,Super Area,1173,New Property,Ready to Move,5.0,13.0,Furnished,East,4689.0,0.55
dindoli,2.0,Carpet Area,659,New Property,Ready to Move,8.0,8.0,Unfurnished,East,2641.0,0.3
palanpur,2.0,Super Area,1215,New Property,Under Construction,6.0,14.0,Unfurnished,East,4291.0,0.52
palanpur,2.0,Carpet Area,721,New Property,Under Construction,7.0,14.0,Unfurnished,East,4249.0,0.56
palanpur,3.0,Super Area,1384,New Property,Ready to Move,7.0,13.0,Unfurnished,East,3505.0,0.48
pal,2.0,Super Area,1127,Resale,Under Construction,15.0,19.0,Unfurnished,East,3914.0,0.44
palanpur,2.0,Super Area,1315,New Property,Under Construction,4.0,13.0,Unfurnished,East,4000.0,0.53
palanpur,2.0,Super Area,1321,New Property,Under Construction,5.0,13.0,Unfurnished,East,4350.0,0.57
NA,1.0,Super Area,719,Resale,Under Construction,4.0,7.0,Unfurnished,East,2421.0,0.17
pal,3.0,Carpet Area,1100,Resale,Ready to Move,10.0,12.0,Unfurnished,South -West,4000.0,0.6
dindoli,2.0,Super Area,1170,New Property,Under Construction,4.0,11.0,Unfurnished,East,2691.0,0.32
jahangirpura,2.0,Carpet Area,710,New Property,Ready to Move,1.0,13.0,Unfurnished,East,4196.0,0.47
palanpur,2.0,Carpet Area,650,New Property,Ready to Move,,,Unfurnished,East,4150.0,0.47
althan,2.0,Super Area,1295,New Property,Ready to Move,5.0,14.0,Unfurnished,South -West,4300.0,0.56
althan,2.0,Carpet Area,680,New Property,Ready to Move,5.0,13.0,Unfurnished,,3951.0,0.49
vesu,1.0,Super Area,750,Resale,Ready to Move,1.0,5.0,Unfurnished,South - East,2881.0,0.22
palanpur,2.0,Super Area,1246,Resale,Ready to Move,7.0,13.0,Unfurnished,North - East,3531.0,0.44
palanpur,2.0,Super Area,1180,New Property,Ready to Move,6.0,13.0,Unfurnished,East,3700.0,0.44
dumas road/hazira,2.0,Carpet Area,750,New Property,Under Construction,8.0,14.0,Unfurnished,East,4035.0,0.55
althan,2.0,Super Area,1252,New Property,Ready to Move,6.0,15.0,Unfurnished,South -West,3514.0,0.44
althan,2.0,Super Area,1275,New Property,Under Construction,5.0,12.0,Unfurnished,East,3991.0,0.51
pal,2.0,Carpet Area,770,Resale,Ready to Move,11.0,13.0,Unfurnished,East,3858.0,0.51
palanpur,1.0,Carpet Area,400,Resale,Ready to Move,5.0,13.0,Semi-Furnished,South -West,3615.0,0.28
palanpur,3.0,Super Area,1566,Resale,Ready to Move,9.0,12.0,Semi-Furnished,North - West,3321.0,0.52
jahangirpura,2.0,Super Area,1233,Resale,Ready to Move,4.0,14.0,Furnished,West,3812.0,0.47
dindoli,2.0,Super Area,1138,New Property,Under Construction,,,Unfurnished,,,
althan,2.0,Super Area,1391,New Property,Ready to Move,14.0,14.0,Unfurnished,West,4300.0,0.6
palanpur,2.0,Super Area,1248,Resale,Ready to Move,5.0,11.0,Furnished,East,3926.0,0.49
dindoli,2.0,Super Area,1445,Resale,Ready to Move,14.0,14.0,Unfurnished,East,3599.0,0.52
jahangirpura,2.0,Carpet Area,700,New Property,Ready to Move,6.0,14.0,Unfurnished,East,3739.0,0.43
althan,2.0,Carpet Area,685,New Property,Under Construction,5.0,13.0,Unfurnished,North,3707.0,0.46
althan,2.0,Super Area,1252,Resale,Ready to Move,5.0,14.0,Unfurnished,East,4073.0,0.51
palanpur,2.0,Carpet Area,750,Resale,Ready to Move,3.0,5.0,Unfurnished,East,3304.0,0.38
jahangirpura,2.0,Carpet Area,1135,Resale,Ready to Move,1.0,13.0,Semi-Furnished,East,,0.35
jahangirpura,3.0,Super Area,1609,Resale,Ready to Move,7.0,13.0,Unfurnished,East,3636.0,0.58
jahangirpura,2.0,Super Area,1345,Resale,Ready to Move,10.0,14.0,Unfurnished,East,3717.0,0.5
adajan,4.0,Super Area,1900,Resale,Ready to Move,10.0,10.0,Unfurnished,East,3158.0,0.6
palanpur,1.0,Super Area,750,Resale,Ready to Move,6.0,12.0,Unfurnished,East,3333.0,0.25
vesu,2.0,Carpet Area,750,Resale,Ready to Move,7.0,10.0,Unfurnished,North - East,4680.0,0.58
jahangirpura,2.0,Super Area,1258,New Property,Ready to Move,8.0,13.0,Furnished,East,4102.0,0.52
palanpur,3.0,Super Area,1625,Resale,Ready to Move,7.0,13.0,Unfurnished,South -West,3692.0,0.6
jahangirpura,2.0,Super Area,1335,New Property,Under Construction,5.0,13.0,Unfurnished,East,3199.0,0.43
jahangirpura,2.0,Super Area,1084,Resale,Ready to Move,2.0,5.0,Semi-Furnished,,2768.0,0.3
udhna,1.0,Carpet Area,650,,Ready to Move,4.0,4.0,Semi-Furnished,,,0.14
NA,2.0,Super Area,925,Resale,Ready to Move,3.0,4.0,Unfurnished,North - East,2378.0,0.22
palanpur,2.0,Carpet Area,1550,New Property,Ready to Move,6.0,13.0,Furnished,North - East,2278.0,0.41
kadodara,2.0,Super Area,682,Resale,Ready to Move,2.0,5.0,Unfurnished,,,
jahangirpura,2.0,Carpet Area,704,New Property,Under Construction,9.0,14.0,Unfurnished,East,3451.0,0.44
palanpur,2.0,Super Area,1269,New Property,Ready to Move,7.0,14.0,Unfurnished,East,4291.0,0.55
dindoli,2.0,Carpet Area,688,New Property,Ready to Move,8.0,8.0,Unfurnished,East,2700.0,0.32
palanpur,2.0,Super Area,1225,New Property,Under Construction,6.0,14.0,Unfurnished,South - East,4204.0,0.52
jahangirpura,3.0,Carpet Area,942,New Property,Under Construction,-2.0,14.0,Unfurnished,East,3451.0,0.59
palanpur,2.0,Super Area,1225,New Property,Ready to Move,6.0,14.0,Unfurnished,East,4180.0,0.51
palanpur,2.0,Super Area,1351,New Property,Undefined,5.0,13.0,Unfurnished,East,4351.0,0.59
palanpur,2.0,Carpet Area,720,New Property,Under Construction,3.0,14.0,Unfurnished,East,3200.0,0.4
palanpur,2.0,Super Area,1275,New Property,Ready to Move,5.0,13.0,Unfurnished,East,3991.0,0.51
palanpur,2.0,Carpet Area,950,Resale,Ready to Move,9.0,15.0,Unfurnished,South -West,4157.0,0.53
dindoli,3.0,Super Area,1381,New Property,Under Construction,7.0,11.0,Unfurnished,North - East,2691.0,0.37
palanpur,2.0,Carpet Area,817,Resale,Ready to Move,12.0,12.0,Unfurnished,East,2703.0,0.34
jahangirpura,2.0,Carpet Area,800,New Property,Under Construction,,,Unfurnished,East,3311.0,0.42
dumas road/hazira,2.0,Super Area,1156,New Property,Ready to Move,9.0,13.0,Unfurnished,South -West,4109.0,0.47
althan,2.0,Carpet Area,701,New Property,Ready to Move,,,Unfurnished,North - East,4070.0,0.52
althan,2.0,Super Area,1270,Resale,Ready to Move,14.0,14.0,Unfurnished,East,4500.0,0.57
palanpur,2.0,Super Area,1190,Resale,Ready to Move,5.0,14.0,Semi-Furnished,North,3950.0,0.47
dumas road/hazira,2.0,Super Area,1290,New Property,Under Construction,6.0,12.0,Unfurnished,South -West,4500.0,0.58
althan,2.0,Super Area,1252,New Property,Ready to Move,11.0,15.0,Unfurnished,East,4153.0,0.52
althan,2.0,Super Area,1280,New Property,Under Construction,6.0,12.0,Unfurnished,East,3977.0,0.51
jahangirpura,3.0,Carpet Area,922,New Property,Ready to Move,7.0,13.0,Unfurnished,South -West,3301.0,0.55
jahangirpura,2.0,Carpet Area,750,New Property,Ready to Move,4.0,14.0,Furnished,South -West,3941.0,0.53
jahangirpura,2.0,Carpet Area,865,Resale,Ready to Move,9.0,12.0,Unfurnished,East,2646.0,0.35
dindoli,3.0,Super Area,1441,New Property,Under Construction,,,Unfurnished,,,
punagam,1.0,Super Area,380,Resale,Ready to Move,3.0,10.0,Unfurnished,,2500.0,0.1
pal,2.0,Super Area,1205,Resale,Ready to Move,3.0,5.0,Unfurnished,East,3900.0,0.47
dindoli,3.0,Super Area,1500,Resale,Ready to Move,8.0,14.0,Unfurnished,East,3667.0,0.55
jahangirpura,2.0,Super Area,1265,New Property,Under Construction,7.0,14.0,Unfurnished,South -West,3411.0,0.43
NA,2.0,Carpet Area,545,Resale,Under Construction,13.0,14.0,Unfurnished,East,3451.0,0.34
palanpur,2.0,Carpet Area,700,Resale,Ready to Move,8.0,10.0,Furnished,East,3500.0,0.42
palanpur,2.0,Super Area,1260,Resale,Ready to Move,3.0,13.0,Semi-Furnished,East,4048.0,0.51
jahangirpura,3.0,Super Area,1609,Resale,Ready to Move,6.0,13.0,Unfurnished,East,3605.0,0.58
jahangirpura,1.0,Super Area,735,Resale,Ready to Move,5.0,14.0,Unfurnished,East,3743.0,0.28
pal,2.0,Carpet Area,830,Resale,Ready to Move,11.0,12.0,Semi-Furnished,East,,0.55
palanpur,2.0,Super Area,1175,Resale,Ready to Move,2.0,12.0,Furnished,East,3574.0,0.42
vesu,2.0,Carpet Area,725,Resale,Ready to Move,4.0,10.0,Unfurnished,North - East,4800.0,0.6
amroli,2.0,Carpet Area,680,New Property,Under Construction,6.0,14.0,Unfurnished,East,3747.0,0.47
palanpur,2.0,Super Area,1320,New Property,Under Construction,10.0,20.0,Unfurnished,South -West,3973.0,0.52
jahangirpura,2.0,Super Area,1250,Resale,Ready to Move,1.0,5.0,Furnished,,3440.0,0.43
adajan,2.0,Super Area,1084,Resale,Ready to Move,1.0,5.0,,,2860.0,0.31
pal,1.0,Super Area,860,Resale,Ready to Move,2.0,4.0,Unfurnished,East,698.0,0.06
palanpur,3.0,Super Area,1586,Resale,Ready to Move,9.0,13.0,Unfurnished,East,3700.0,0.59
palanpur,2.0,Super Area,1311,New Property,Under Construction,4.0,13.0,Unfurnished,East,4251.0,0.56
dindoli,2.0,Carpet Area,624,New Property,Ready to Move,8.0,8.0,Unfurnished,North - East,2676.0,0.3
pal,3.0,Super Area,1649,New Property,Under Construction,5.0,13.0,Unfurnished,East,3400.0,0.56
palanpur,2.0,Carpet Area,723,New Property,Under Construction,6.0,12.0,Unfurnished,East,3954.0,0.52
palanpur,3.0,Super Area,1384,New Property,Ready to Move,6.0,13.0,Unfurnished,East,3512.0,0.49
palanpur,2.0,Super Area,1275,New Property,Undefined,5.0,13.0,Unfurnished,East,3851.0,0.49
pal,2.0,Carpet Area,665,New Property,Under Construction,4.0,13.0,Unfurnished,East,4200.0,0.51
jahangirpura,2.0,Super Area,1015,Resale,Ready to Move,9.0,13.0,Unfurnished,East,3448.0,0.35
pal,2.0,Carpet Area,1000,Resale,Ready to Move,9.0,12.0,Unfurnished,South -West,4511.0,0.57
dindoli,3.0,Super Area,1472,New Property,Under Construction,7.0,13.0,Unfurnished,East,2497.0,0.37
jahangirpura,3.0,Carpet Area,1150,Resale,Ready to Move,4.0,5.0,Unfurnished,East,2750.0,0.44
jahangirpura,2.0,Carpet Area,700,New Property,Ready to Move,,,Unfurnished,East,3551.0,0.42
pal,2.0,Carpet Area,707,New Property,Under Construction,5.0,14.0,Unfurnished,South -West,4475.0,0.57
althan,2.0,Carpet Area,702,New Property,Under Construction,5.0,14.0,Unfurnished,North - West,,
palanpur,2.0,Super Area,1245,Resale,Ready to Move,2.0,5.0,Semi-Furnished,North - East,2811.0,0.35
dumas road/hazira,2.0,Super Area,1260,New Property,Under Construction,6.0,12.0,Unfurnished,South -West,4500.0,0.57
NA,2.0,Super Area,1305,New Property,Ready to Move,5.0,14.0,Unfurnished,South - East,3678.0,0.48
althan,2.0,Super Area,1274,New Property,Ready to Move,5.0,12.0,Unfurnished,East,4062.0,0.52
jahangirpura,2.0,Carpet Area,650,Resale,Ready to Move,9.0,13.0,Furnished,South -West,3814.0,0.45
palanpur,2.0,Super Area,1246,Resale,Ready to Move,5.0,13.0,Furnished,East,4013.0,0.5
palanpur,2.0,Super Area,1150,Resale,Ready to Move,4.0,5.0,Semi-Furnished,East,3478.0,0.4
dindoli,2.0,Super Area,1445,New Property,Under Construction,7.0,14.0,Unfurnished,East,3500.0,0.51
jahangirpura,3.0,Super Area,1665,New Property,Under Construction,6.0,14.0,Unfurnished,South -West,3411.0,0.57
palanpur,3.0,Carpet Area,900,Resale,Ready to Move,5.0,5.0,Semi-Furnished,South,3067.0,0.46
palanpur,1.0,Super Area,813,New Property,Under Construction,4.0,14.0,Unfurnished,East,3507.0,0.28
pal,2.0,Super Area,1251,Resale,Ready to Move,8.0,15.0,Semi-Furnished,East,4467.0,0.56
pal,2.0,Carpet Area,711,Resale,Ready to Move,6.0,14.0,Furnished,East,4382.0,0.55
adajan,2.0,Super Area,1000,Resale,Ready to Move,2.0,4.0,Furnished,East,3951.0,0.4
jahangirpura,2.0,Carpet Area,1240,Resale,Ready to Move,5.0,8.0,Semi-Furnished,East,,0.53
althan,2.0,Carpet Area,720,Resale,Ready to Move,8.0,13.0,Furnished,North - East,4429.0,0.55
palanpur,1.0,Super Area,690,Resale,Ready to Move,2.0,7.0,Semi-Furnished,South -West,3696.0,0.26
jahangirpura,1.0,Carpet Area,500,Resale,Ready to Move,5.0,12.0,Furnished,East,3636.0,0.28
pal,3.0,Carpet Area,1350,Resale,Ready to Move,5.0,13.0,Semi-Furnished,East,3143.0,0.55
palanpur,3.0,Super Area,1690,Resale,Under Construction,9.0,14.0,Unfurnished,East,3550.0,0.6
palanpur,3.0,Super Area,1690,New Property,Ready to Move,9.0,14.0,Unfurnished,East,3550.0,0.6
dindoli,2.0,Carpet Area,600,New Property,Ready to Move,8.0,8.0,Unfurnished,North - East,2674.0,0.29
palanpur,2.0,Super Area,1311,New Property,Under Construction,7.0,14.0,Unfurnished,East,4251.0,0.56
jahangirpura,2.0,Carpet Area,734,New Property,Under Construction,6.0,12.0,Unfurnished,East,3371.0,0.45
palanpur,2.0,Super Area,1250,Resale,Undefined,8.0,14.0,Unfurnished,East,3700.0,0.46
palanpur,1.0,Carpet Area,424,New Property,Under Construction,5.0,14.0,Unfurnished,East,3507.0,0.28
udhna,2.0,Super Area,1100,Resale,Ready to Move,0.0,4.0,Furnished,East,2636.0,0.29
pal,2.0,Carpet Area,1000,Resale,Ready to Move,3.0,5.0,Unfurnished,South -West,3529.0,0.45
dindoli,2.0,Super Area,1145,New Property,Under Construction,3.0,7.0,Unfurnished,North - East,2620.0,0.3
jahangirpura,1.0,Carpet Area,367,New Property,Ready to Move,14.0,14.0,Unfurnished,East,3781.0,0.29
dumas road/hazira,2.0,Carpet Area,659,New Property,Ready to Move,,,Unfurnished,East,4800.0,0.56
althan,2.0,Super Area,1168,New Property,Ready to Move,5.0,14.0,Unfurnished,East,4000.0,0.47
palanpur,3.0,Super Area,1518,Resale,Ready to Move,5.0,13.0,Semi-Furnished,North - East,3623.0,0.55
dumas road/hazira,2.0,Super Area,1200,New Property,Under Construction,6.0,12.0,Unfurnished,South -West,4500.0,0.54
althan,2.0,Super Area,1275,New Property,Ready to Move,4.0,13.0,Unfurnished,South - East,4000.0,0.51
althan,2.0,Super Area,1275,New Property,Under Construction,7.0,12.0,Unfurnished,East,4051.0,0.52
vesu,2.0,Super Area,1246,Resale,Ready to Move,5.0,12.0,Unfurnished,East,3291.0,0.41
palanpur,1.0,Super Area,997,Resale,Ready to Move,7.0,13.0,Semi-Furnished,East,2859.0,0.28
dindoli,2.0,Carpet Area,725,New Property,Under Construction,7.0,14.0,Unfurnished,South -West,3500.0,0.46
palanpur,2.0,Carpet Area,650,New Property,Ready to Move,5.0,13.0,Unfurnished,East,4365.0,0.53
jahangirpura,2.0,Super Area,1278,New Property,Under Construction,8.0,13.0,Unfurnished,East,3521.0,0.45
pal,2.0,Super Area,1300,New Property,Ready to Move,10.0,14.0,Unfurnished,East,4191.0,0.55
jahangirpura,2.0,Carpet Area,635,Resale,Ready to Move,6.0,13.0,Unfurnished,West,3463.0,0.4
adajan,2.0,Super Area,1260,Resale,Ready to Move,12.0,12.0,Furnished,West,4762.0,0.6
jahangirpura,2.0,Carpet Area,1240,Resale,Ready to Move,6.0,9.0,Semi-Furnished,,,0.53
althan,2.0,Carpet Area,713,Resale,Ready to Move,4.0,15.0,Unfurnished,North - East,3498.0,0.44
palanpur,2.0,Super Area,1159,Resale,Ready to Move,6.0,13.0,Unfurnished,East,4745.0,0.55
palanpur,2.0,Super Area,1311,New Property,Under Construction,6.0,13.0,Unfurnished,East,4249.0,0.56
jahangirpura,2.0,Super Area,1354,New Property,Ready to Move,6.0,13.0,Unfurnished,East,3545.0,0.48
palanpur,2.0,Super Area,1250,Resale,Ready to Move,9.0,14.0,Unfurnished,East,3550.0,0.44
palanpur,2.0,Super Area,1250,New Property,Ready to Move,6.0,14.0,Unfurnished,East,3535.0,0.44
dindoli,2.0,Carpet Area,624,New Property,Ready to Move,8.0,8.0,Unfurnished,East,2659.0,0.3
jahangirpura,2.0,Super Area,1278,New Property,Under Construction,6.0,14.0,Unfurnished,East,3861.0,0.49
palanpur,2.0,Carpet Area,718,New Property,Under Construction,6.0,14.0,Unfurnished,East,3910.0,0.51
palanpur,2.0,Super Area,1311,New Property,Undefined,5.0,13.0,Unfurnished,East,4251.0,0.56
pal,2.0,Carpet Area,720,New Property,Under Construction,4.0,14.0,Unfurnished,East,4400.0,0.59
pal,3.0,Super Area,1505,Resale,Ready to Move,8.0,13.0,Unfurnished,North - East,3189.0,0.48
pal,2.0,Carpet Area,1050,Resale,Ready to Move,2.0,5.0,Unfurnished,South -West,3502.0,0.45
dindoli,3.0,Super Area,1645,New Property,Under Construction,5.0,11.0,Unfurnished,North - East,2650.0,0.44
jahangirpura,3.0,Carpet Area,910,Resale,Ready to Move,1.0,5.0,Unfurnished,East,2857.0,0.4
althan,2.0,Carpet Area,640,New Property,Ready to Move,,,Unfurnished,East,3985.0,0.44
jahangirpura,2.0,Super Area,1280,New Property,Under Construction,7.0,14.0,Unfurnished,South -West,3251.0,0.42
adajan,2.0,Super Area,1256,Resale,Ready to Move,8.0,13.0,Semi-Furnished,North - East,2727.0,0.34
althan,2.0,Super Area,1250,New Property,Ready to Move,7.0,12.0,Semi-Furnished,East,4400.0,0.55
althan,2.0,Super Area,1276,New Property,Ready to Move,5.0,12.0,Unfurnished,East,4052.0,0.52
palanpur,3.0,Carpet Area,790,New Property,Ready to Move,8.0,12.0,Unfurnished,East,,
palanpur,2.0,Super Area,1180,Resale,Ready to Move,4.0,5.0,Unfurnished,East,3475.0,0.41
dindoli,2.0,Carpet Area,723,New Property,Ready to Move,7.0,13.0,Unfurnished,South - East,3451.0,0.44
palanpur,1.0,Carpet Area,500,Resale,Ready to Move,4.0,5.0,Semi-Furnished,East,3241.0,0.23
palanpur,2.0,Super Area,1250,New Property,Under Construction,5.0,14.0,Unfurnished,East,3600.0,0.45
jahangirpura,2.0,Super Area,1219,Resale,Ready to Move,6.0,13.0,Unfurnished,East,3624.0,0.44
palanpur,2.0,Super Area,1180,Resale,Ready to Move,9.0,13.0,Furnished,East,5000.0,0.59
adajan,2.0,Super Area,1100,Resale,Ready to Move,3.0,7.0,Unfurnished,South,3455.0,0.38
jahangirpura,2.0,Super Area,1251,Resale,Ready to Move,8.0,12.0,Furnished,East,2839.0,0.35
althan,2.0,Carpet Area,644,New Property,Ready to Move,9.0,19.0,Unfurnished,North - East,4953.0,0.58
jahangirpura,2.0,Super Area,1050,Resale,Ready to Move,6.0,12.0,Unfurnished,East,3333.0,0.35
palanpur,2.0,Super Area,1315,New Property,Under Construction,5.0,13.0,Unfurnished,East,3848.0,0.51
jahangirpura,3.0,Carpet Area,950,Resale,Ready to Move,10.0,13.0,Furnished,East,1621.0,0.23
jahangirpura,2.0,Carpet Area,739,New Property,Ready to Move,7.0,14.0,Unfurnished,East,3611.0,0.48
palanpur,2.0,Super Area,1190,New Property,Ready to Move,8.0,13.0,Unfurnished,East,4034.0,0.48
dindoli,2.0,Carpet Area,585,New Property,Ready to Move,1.0,8.0,Unfurnished,West,2634.0,0.28
jahangirpura,2.0,Super Area,1280,New Property,Under Construction,7.0,14.0,Unfurnished,East,3411.0,0.44
jahangirpura,3.0,Carpet Area,946,New Property,Under Construction,6.0,14.0,Unfurnished,East,3430.0,0.59
jahangirpura,2.0,Super Area,1178,New Property,Under Construction,5.0,14.0,Unfurnished,East,3065.0,0.36
palanpur,2.0,Carpet Area,750,New Property,Under Construction,14.0,14.0,Unfurnished,,3200.0,0.42
pal,2.0,Super Area,1201,Resale,Ready to Move,6.0,13.0,Unfurnished,West,3164.0,0.38
palanpur,2.0,Carpet Area,951,Resale,Ready to Move,15.0,15.0,Unfurnished,South -West,3846.0,0.51
NA,1.0,Super Area,813,New Property,Under Construction,8.0,14.0,Unfurnished,North - East,3507.0,0.28
jahangirpura,2.0,Carpet Area,688,New Property,Ready to Move,2.0,13.0,Unfurnished,East,3994.0,0.5
adajan,2.0,Carpet Area,730,New Property,Under Construction,,,Unfurnished,East,4251.0,0.56
jahangirpura,3.0,Super Area,1625,New Property,Under Construction,5.0,14.0,Unfurnished,South -West,3250.0,0.53
palanpur,3.0,Super Area,1540,Resale,Ready to Move,3.0,14.0,Furnished,North - East,3896.0,0.6
amroli,2.0,Super Area,975,New Property,Under Construction,6.0,13.0,Unfurnished,South - East,3282.0,0.32
